# Channel 1,,
# Trace 2,,
Frequency,Real,Imaginary
3.00E+05,2.88E-01,-2.79E-03
5.30E+06,2.90E-01,-1.83E-01
1.03E+07,4.73E-02,-5.06E-01
1.53E+07,-5.23E-01,-4.77E-01
2.03E+07,-6.48E-01,5.35E-01
2.53E+07,2.96E-01,6.47E-01
3.03E+07,6.03E-01,5.46E-02
3.53E+07,2.68E-01,-4.29E-01
4.03E+07,-1.87E-01,-3.48E-01
4.53E+07,-2.75E-01,-6.38E-03
5.03E+07,-7.04E-02,1.13E-01
5.53E+07,-6.66E-02,-2.73E-02
6.03E+07,-2.75E-01,2.07E-01
6.53E+07,2.81E-01,5.56E-01
7.03E+07,7.17E-01,-1.72E-01
7.53E+07,2.96E-02,-7.64E-01
8.03E+07,-6.32E-01,-2.57E-01
8.53E+07,-3.90E-01,4.36E-01
9.03E+07,1.64E-01,3.58E-01
9.53E+07,2.01E-01,1.08E-01
1.00E+08,2.44E-01,1.34E-02
1.05E+08,2.45E-01,-2.52E-01
1.10E+08,-1.11E-01,-3.92E-01
1.15E+08,-3.67E-01,-5.45E-02
1.20E+08,-2.43E-01,2.40E-01
1.25E+08,3.80E-02,3.79E-01
1.30E+08,3.43E-01,1.34E-01
1.35E+08,2.43E-01,-1.95E-01
1.40E+08,-4.40E-04,-1.62E-01
1.45E+08,-1.19E-02,-2.32E-01
1.50E+08,-3.01E-01,-1.78E-01
1.55E+08,-3.60E-01,4.01E-01
1.60E+08,1.69E-01,3.05E-01
1.65E+08,2.79E-01,1.14E-01
1.70E+08,3.10E-01,-1.84E-01
1.75E+08,-1.60E-02,-3.73E-01
1.80E+08,-2.87E-01,-1.57E-01
1.85E+08,-2.95E-01,1.38E-01
1.90E+08,-5.12E-02,3.13E-01
1.95E+08,2.30E-01,2.17E-01
2.00E+08,2.84E-01,-9.82E-02
2.05E+08,3.60E-02,-2.25E-01
2.10E+08,-9.60E-02,-1.25E-01
2.15E+08,-7.52E-02,-6.33E-02
2.20E+08,-3.89E-01,6.12E-02
2.25E+08,5.45E-02,3.01E-01
2.30E+08,2.01E-01,8.22E-02
2.35E+08,1.60E-01,-4.45E-02
2.40E+08,9.90E-02,-1.64E-01
2.45E+08,-8.73E-02,-1.86E-01
2.50E+08,-2.04E-01,-4.54E-02
2.55E+08,-1.65E-01,1.61E-01
2.60E+08,4.76E-02,2.27E-01
2.65E+08,2.17E-01,6.63E-02
2.70E+08,1.27E-01,-1.22E-01
2.75E+08,-2.44E-02,-1.45E-01
2.80E+08,-9.05E-02,-2.25E-02
2.85E+08,-6.05E-02,-2.81E-03
2.90E+08,-8.98E-02,4.01E-02
2.95E+08,-3.27E-02,1.58E-01
3.00E+08,1.26E-01,1.15E-01
3.05E+08,1.77E-01,-3.11E-02
3.10E+08,5.17E-02,-1.81E-01
3.15E+08,-1.33E-01,-1.17E-01
3.20E+08,-1.46E-01,6.04E-02
3.25E+08,-2.72E-02,1.35E-01
3.30E+08,5.22E-02,8.70E-02
3.35E+08,8.08E-02,5.84E-02
3.40E+08,1.01E-01,3.91E-03
3.45E+08,1.13E-01,-7.77E-02
3.50E+08,-3.77E-02,-1.98E-01
3.55E+08,-2.29E-01,-9.86E-03
3.60E+08,-7.68E-02,1.96E-01
3.65E+08,1.03E-01,1.53E-01
3.70E+08,1.50E-01,2.28E-02
3.75E+08,1.23E-01,-9.27E-02
3.80E+08,-1.65E-02,-1.47E-01
3.85E+08,-1.20E-01,-4.13E-02
3.90E+08,-9.18E-02,6.06E-02
3.95E+08,-9.23E-03,1.03E-01
4.00E+08,3.08E-02,7.51E-02
4.05E+08,8.07E-02,6.80E-02
4.10E+08,1.28E-01,-1.17E-02
4.15E+08,7.25E-02,-1.19E-01
4.20E+08,-6.97E-02,-1.43E-01
4.25E+08,-1.91E-01,-7.78E-06
4.30E+08,-1.05E-01,1.96E-01
4.35E+08,1.30E-01,2.07E-01
4.40E+08,2.33E-01,-1.28E-02
4.45E+08,8.68E-02,-1.76E-01
4.50E+08,-1.01E-01,-1.32E-01
4.55E+08,-1.40E-01,3.04E-02
4.60E+08,-3.58E-02,1.24E-01
4.65E+08,5.71E-02,8.89E-02
4.70E+08,6.87E-02,2.61E-02
4.75E+08,5.47E-02,1.70E-02
4.80E+08,8.36E-02,-2.72E-03
4.85E+08,6.44E-02,-9.90E-02
4.90E+08,-7.41E-02,-1.17E-01
4.95E+08,-1.45E-01,4.11E-02
5.00E+08,-3.69E-02,1.49E-01
5.05E+08,9.50E-02,1.27E-01
5.10E+08,1.61E-01,1.35E-02
5.15E+08,1.13E-01,-1.18E-01
5.20E+08,-3.40E-02,-1.54E-01
5.25E+08,-1.53E-01,-6.01E-02
5.30E+08,-1.46E-01,1.23E-01
5.35E+08,3.90E-02,1.94E-01
5.40E+08,1.66E-01,7.08E-02
5.45E+08,1.40E-01,-7.60E-02
5.50E+08,1.82E-02,-1.40E-01
5.55E+08,-1.04E-01,-7.32E-02
5.60E+08,-1.02E-01,5.10E-02
5.65E+08,-3.13E-02,9.55E-02
5.70E+08,4.02E-02,9.49E-02
5.75E+08,8.25E-02,3.80E-02
5.80E+08,6.41E-02,-6.48E-03
5.85E+08,5.39E-02,-3.12E-02
5.90E+08,1.82E-02,-7.17E-02
5.95E+08,-5.68E-02,-6.04E-02
6.00E+08,-1.05E-01,2.15E-02
6.05E+08,-6.62E-02,1.23E-01
6.10E+08,6.80E-02,1.64E-01
6.15E+08,1.89E-01,5.32E-02
6.20E+08,1.51E-01,-1.32E-01
6.25E+08,-3.88E-02,-1.88E-01
6.30E+08,-1.87E-01,-5.16E-02
6.35E+08,-1.55E-01,1.45E-01
6.40E+08,3.24E-02,2.32E-01
6.45E+08,2.11E-01,1.16E-01
6.50E+08,2.02E-01,-9.05E-02
6.55E+08,4.02E-02,-2.01E-01
6.60E+08,-1.47E-01,-1.20E-01
6.65E+08,-1.65E-01,6.92E-02
6.70E+08,-4.17E-02,1.59E-01
6.75E+08,6.78E-02,1.40E-01
6.80E+08,1.47E-01,7.00E-02
6.85E+08,1.46E-01,-5.83E-02
6.90E+08,4.08E-02,-1.42E-01
6.95E+08,-9.29E-02,-1.03E-01
7.00E+08,-1.52E-01,1.85E-02
7.05E+08,-1.09E-01,1.58E-01
7.10E+08,6.83E-02,2.22E-01
7.15E+08,2.22E-01,8.61E-02
7.20E+08,1.89E-01,-1.06E-01
7.25E+08,2.66E-02,-1.96E-01
7.30E+08,-1.60E-01,-1.20E-01
7.35E+08,-2.02E-01,9.56E-02
7.40E+08,-3.75E-02,2.49E-01
7.45E+08,1.76E-01,1.97E-01
7.50E+08,2.55E-01,6.11E-03
7.55E+08,1.58E-01,-1.68E-01
7.60E+08,-3.78E-02,-1.96E-01
7.65E+08,-1.67E-01,-5.37E-02
7.70E+08,-1.27E-01,1.23E-01
7.75E+08,2.85E-02,1.87E-01
7.80E+08,1.68E-01,1.11E-01
7.85E+08,1.95E-01,-3.74E-02
7.90E+08,1.06E-01,-1.49E-01
7.95E+08,-3.39E-02,-1.62E-01
8.00E+08,-1.48E-01,-6.29E-02
8.05E+08,-1.27E-01,9.33E-02
8.10E+08,1.48E-06,1.72E-01
8.15E+08,1.46E-01,1.26E-01
8.20E+08,2.01E-01,-3.01E-02
8.25E+08,1.04E-01,-1.69E-01
8.30E+08,-6.80E-02,-1.78E-01
